"11,940.83"
"2,992.21"
"5,583.86"
"9,251.74"
"3,020.83"
"6,220.57"
"3,019.25"
"1,772.21"
"9,061.23"
"1,018.65"
"15,856.53"
"4,572.26"
"4,029.05"
"30,976.89"
"1,005.66"
"9,579.41"
"8,737.69"
"5,648.63"
"1,093.08"
"1,744.17"
"1,004.86"
"1,237.10"
"10,649.08"
"6,981.65"
"1,119.31"
"2,526.13"
"3,507.67"
"13,429.33"
"4,202.88"
"4,821.54"
"13,192.27"
"4,658.15"
"1,550.92"
"16,029.14"
"4,932.74"
"1,005.81"
"1,197.43"
"2,427.93"
"21,184.75"
"12,543.82"
"2,605.36"
"8,767.64"
"10,600.08"
"36,476.59"
"1,331.71"
"1,807.83"
"3,321.80"
"6,646.53"
"1,841.15"
"1,348.26"
"1,002.44"
"1,139.82"
"1,052.68"
"1,563.76"
"2,532.39"
"1,437.40"
"2,435.27"
"3,464.22"
"1,125.81"
"1,240.73"
"1,226.00"
"2,094.03"
"1,047.08"
"1,026.35"
"1,998.56"
"1,029.56"
"15,408.48"
"1,168.32"
"2,098.30"
"6,255.18"
"1,000.12"
